Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,28,2016-07-11,2016-07-17,26,26,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,29,2016-07-18,2016-07-24,49,49,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,30,2016-07-25,2016-07-31,38,38,0,0,0,0,18,18,0,0,0,0,18,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,31,2016-08-01,2016-08-07,36,36,0,0,0,0,22,22,0,0,0,0,22,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,32,2016-08-08,2016-08-14,39,39,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,33,2016-08-15,2016-08-21,32,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,34,2016-08-22,2016-08-28,36,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,35,2016-08-29,2016-09-04,45,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,36,2016-09-05,2016-09-11,24,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,37,2016-09-12,2016-09-18,10,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,38,2016-09-19,2016-09-25,45,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,39,2016-09-26,2016-10-02,37,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,40,2016-10-03,2016-10-09,45,45,,0,0,0,22,22,0,0,0,0,22,23,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,41,2016-10-10,2016-10-16,54,54,,0,0,0,10,10,0,0,3,3,13,41,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,42,2016-10-17,2016-10-23,55,55,,0,0,0,0,0,0,1,0,1,1,51,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,43,2016-10-24,2016-10-30,75,75,,0,0,0,3,3,0,0,0,0,3,72,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,44,2016-10-31,2016-11-06,71,71,,0,0,0,0,0,0,0,0,0,0,0,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,45,2016-11-07,2016-11-13,77,77,,0,0,0,0,0,0,1,0,1,1,76,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,46,2016-11-14,2016-11-20,60,60,,0,0,0,0,0,0,4,0,4,4,54,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,47,2016-11-21,2016-11-27,96,96,,0,0,0,0,0,0,1,0,1,1,91,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,48,2016-11-28,2016-12-04,69,69,,0,3,0,0,3,0,1,0,1,4,62,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,49,2016-12-05,2016-12-11,91,91,,0,3,0,1,4,0,0,6,6,10,81,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,50,2016-12-12,2016-12-18,76,76,,0,0,0,4,4,0,2,5,7,11,65,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,51,2016-12-19,2016-12-25,81,81,,0,0,0,2,2,0,2,3,5,7,74,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,52,2016-12-26,2017-01-01,98,98,,0,1,0,0,1,0,0,1,1,2,96,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,1,2017-01-02,2017-01-08,107,107,,0,3,0,0,3,1,0,1,2,5,102,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,2,2017-01-09,2017-01-15,69,69,,0,1,0,0,1,0,0,2,2,3,65,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,3,2017-01-16,2017-01-22,98,98,,0,3,0,0,3,1,0,7,8,11,87,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,4,2017-01-23,2017-01-29,69,69,,0,3,0,0,3,0,0,6,6,9,60,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,5,2017-01-30,2017-02-05,83,83,,0,0,0,0,0,0,0,4,4,4,79,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,6,2017-02-06,2017-02-12,105,105,,0,6,0,0,6,1,0,0,1,7,0,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,7,2017-02-13,2017-02-19,66,66,,0,2,0,0,2,1,0,0,1,3,0,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,8,2017-02-20,2017-02-26,75,75,,0,0,0,0,0,0,0,0,0,0,0,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,9,2017-02-27,2017-03-05,40,40,,0,0,0,0,0,0,0,0,0,0,40,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,10,2017-03-06,2017-03-12,67,67,,0,1,0,0,1,0,0,0,0,1,30,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,11,2017-03-13,2017-03-19,84,84,,0,0,0,0,0,0,0,0,0,0,0,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,12,2017-03-20,2017-03-26,50,50,,0,0,0,0,0,0,0,0,0,0,50,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,13,2017-03-27,2017-04-02,73,73,,0,0,0,0,0,0,0,0,0,0,73,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,14,2017-04-03,2017-04-09,34,34,,0,0,0,0,0,0,0,0,0,0,34,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,15,2017-04-10,2017-04-16,35,35,,0,0,0,0,0,0,0,0,0,0,35,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,16,2017-04-17,2017-04-23,40,40,,0,0,0,0,0,0,0,0,0,0,40,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,17,2017-04-24,2017-04-30,47,47,,0,0,0,0,0,0,0,0,0,0,47,Sporadic
Albania,European Region of WHO,South West Europe,2016,1,2016-01-04,2016-01-10,,2,0,0,0,,0,0,0,0,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2016,2,2016-01-11,2016-01-17,,29,0,3,0,,0,3,0,1,0,1,4,,No Report
Albania,European Region of WHO,South West Europe,2016,3,2016-01-18,2016-01-24,,61,0,16,0,,0,16,0,2,0,2,18,,No Report
Albania,European Region of WHO,South West Europe,2016,4,2016-01-25,2016-01-31,,56,0,6,0,,0,6,0,5,0,5,11,,No Report
Albania,European Region of WHO,South West Europe,2016,5,2016-02-01,2016-02-07,,99,0,24,2,,0,26,0,0,9,9,35,,No Report
Albania,European Region of WHO,South West Europe,2016,7,2016-02-15,2016-02-21,,80,0,16,2,,0,18,0,10,0,10,28,,No Report
Albania,European Region of WHO,South West Europe,2016,8,2016-02-22,2016-02-28,,74,0,14,0,,0,14,0,12,2,14,28,,No Report
Albania,European Region of WHO,South West Europe,2016,9,2016-02-29,2016-03-06,,39,0,12,0,,0,12,0,0,5,5,17,,No Report
Albania,European Region of WHO,South West Europe,2016,10,2016-03-07,2016-03-13,,52,0,13,0,,0,13,0,10,0,10,23,,No Report
Albania,European Region of WHO,South West Europe,2016,11,2016-03-14,2016-03-20,,53,0,4,0,,0,4,0,19,0,19,23,,No Report
Albania,European Region of WHO,South West Europe,2016,12,2016-03-21,2016-03-27,,58,0,1,0,,0,1,0,26,0,26,27,,No Report
Albania,European Region of WHO,South West Europe,2016,48,2016-11-28,2016-12-04,,21,0,0,9,,0,9,0,0,0,0,9,,No Report
Albania,European Region of WHO,South West Europe,2016,49,2016-12-05,2016-12-11,,47,0,0,24,,0,24,0,0,0,0,24,,No Report
Albania,European Region of WHO,South West Europe,2016,50,2016-12-12,2016-12-18,,43,0,0,19,,0,19,0,0,0,0,19,,No Report
Albania,European Region of WHO,South West Europe,2016,51,2016-12-19,2016-12-25,,58,0,0,21,,0,21,0,0,0,0,21,,No Report
Albania,European Region of WHO,South West Europe,2016,52,2016-12-26,2017-01-01,,55,0,0,16,,0,16,0,0,0,0,16,,No Report
Albania,European Region of WHO,South West Europe,2017,1,2017-01-02,2017-01-08,,135,0,0,60,,0,60,0,0,0,0,60,,No Report
Albania,European Region of WHO,South West Europe,2017,2,2017-01-09,2017-01-15,,113,0,0,15,,0,15,0,0,0,0,15,,No Report
Albania,European Region of WHO,South West Europe,2017,3,2017-01-16,2017-01-22,,69,0,0,0,,16,16,0,0,0,0,16,,No Report
Albania,European Region of WHO,South West Europe,2017,4,2017-01-23,2017-01-29,,6,0,0,0,,0,0,0,0,0,0,0,,No Report
Algeria,African Region of WHO,Northern Africa,2016,1,2016-01-04,2016-01-10,28,28,0,0,0,0,0,0,0,0,0,0,0,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,2,2016-01-11,2016-01-17,13,13,0,1,0,0,0,1,0,0,0,0,1,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,3,2016-01-18,2016-01-24,13,13,0,4,2,0,0,6,0,0,0,0,6,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,4,2016-01-25,2016-01-31,29,29,0,12,3,0,0,15,0,0,1,1,16,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,5,2016-02-01,2016-02-07,34,34,0,8,8,0,0,16,0,0,0,0,16,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,6,2016-02-08,2016-02-14,24,23,0,7,3,0,0,10,0,0,0,0,10,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,7,2016-02-15,2016-02-21,54,54,0,24,8,0,0,32,0,0,0,0,32,,Widespread Outbreak
Algeria,African Region of WHO,Northern Africa,2016,8,2016-02-22,2016-02-28,56,56,0,16,13,0,0,29,0,0,0,0,29,,Widespread Outbreak
Algeria,African Region of WHO,Northern Africa,2016,9,2016-02-29,2016-03-06,38,38,0,16,11,0,0,27,0,0,0,0,27,,Widespread Outbreak
Algeria,African Region of WHO,Northern Africa,2016,10,2016-03-07,2016-03-13,30,30,0,8,12,0,0,20,0,0,0,0,20,,Widespread Outbreak
Algeria,African Region of WHO,Northern Africa,2016,11,2016-03-14,2016-03-20,28,28,0,8,13,0,0,21,0,0,0,0,21,,Widespread Outbreak
Algeria,African Region of WHO,Northern Africa,2016,12,2016-03-21,2016-03-27,11,11,0,3,2,0,0,5,0,0,0,0,5,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,13,2016-03-28,2016-04-03,3,3,0,1,0,0,0,1,0,0,0,0,1,,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2016,14,2016-04-04,2016-04-10,3,3,0,0,0,0,0,0,0,0,0,0,0,,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2016,15,2016-04-11,2016-04-17,1,1,0,0,0,0,0,0,0,0,0,0,0,,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2016,48,2016-11-28,2016-12-04,22,22,,0,2,0,0,2,,,4,4,6,16,Sporadic
Algeria,African Region of WHO,Northern Africa,2016,49,2016-12-05,2016-12-11,42,42,,0,1,0,0,1,,,19,19,20,22,Sporadic
Algeria,African Region of WHO,Northern Africa,2016,50,2016-12-12,2016-12-18,31,31,,0,1,0,0,1,0,0,15,15,16,15,Sporadic
Algeria,African Region of WHO,Northern Africa,2016,51,2016-12-19,2016-12-25,22,22,,0,3,0,0,3,0,0,10,10,13,8,Sporadic
Algeria,African Region of WHO,Northern Africa,2016,52,2016-12-26,2017-01-01,22,22,,0,4,0,0,4,0,0,5,5,9,0,Sporadic
Algeria,African Region of WHO,Northern Africa,2017,1,2017-01-02,2017-01-08,24,24,,0,5,0,0,5,0,4,0,4,9,15,Sporadic
Algeria,African Region of WHO,Northern Africa,2017,2,2017-01-09,2017-01-15,20,20,,0,8,0,0,8,0,4,,4,12,8,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2017,3,2017-01-16,2017-01-22,28,28,,0,10,0,0,10,0,5,0,5,15,13,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2017,4,2017-01-23,2017-01-29,21,21,,1,8,,,9,,4,,4,13,8,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,5,2017-01-30,2017-02-05,23,23,,,12,,,12,,3,,3,15,8,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,6,2017-02-06,2017-02-12,11,11,,,4,,,4,,,,0,4,0,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,7,2017-02-13,2017-02-19,13,13,,,6,,,6,,1,,1,7,6,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,8,2017-02-20,2017-02-26,9,9,,,5,,,5,,,,0,5,4,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,9,2017-02-27,2017-03-05,10,10,,,3,,,3,,3,,3,6,0,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,10,2017-03-06,2017-03-12,5,5,,0,,,,0,,,,0,0,0,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,11,2017-03-13,2017-03-19,6,6,,,1,,,1,,,,0,1,0,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,12,2017-03-20,2017-03-26,2,2,,,,,,0,,,,0,0,0,Regional Outbreak
Algeria,African Region of WHO,Northern Africa,2017,13,2017-03-27,2017-04-02,0,0,,,,,,0,,,,0,0,0,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2017,14,2017-04-03,2017-04-09,0,0,,,,,,0,,,,0,0,0,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2016,1,2016-01-04,2016-01-10,7,467,0,1,0,0,0,1,0,4,5,9,10,419,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,2,2016-01-11,2016-01-17,5,402,0,1,0,0,1,2,0,1,1,2,4,362,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,3,2016-01-18,2016-01-24,1,412,0,1,0,0,3,4,0,1,0,1,5,370,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,4,2016-01-25,2016-01-31,1,388,0,0,3,0,1,4,0,0,1,1,5,347,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,5,2016-02-01,2016-02-07,3,385,0,0,0,0,4,4,0,0,0,0,4,338,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,6,2016-02-08,2016-02-14,1,296,0,3,0,0,1,4,0,0,0,0,4,264,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,7,2016-02-15,2016-02-21,2,376,0,2,1,0,2,5,1,0,1,2,7,344,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,8,2016-02-22,2016-02-28,2,380,0,4,0,0,1,5,0,1,2,3,8,333,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2016,9,2016-02-29,2016-03-06,2,444,0,4,0,0,1,5,0,0,0,0,5,374,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2016,10,2016-03-07,2016-03-13,1,561,0,10,0,0,4,14,1,1,1,3,17,464,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,11,2016-03-14,2016-03-20,5,722,0,22,0,0,4,26,0,3,1,4,30,600,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,12,2016-03-21,2016-03-27,4,591,0,30,0,0,1,31,1,1,2,4,35,466,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,13,2016-03-28,2016-04-03,4,823,0,20,1,0,22,43,0,3,5,8,51,667,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,14,2016-04-04,2016-04-10,7,842,0,30,1,0,17,48,0,4,4,8,56,677,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,15,2016-04-11,2016-04-17,11,1010,0,49,1,0,42,92,1,3,12,16,108,705,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,16,2016-04-18,2016-04-24,5,1168,0,60,0,0,31,91,0,3,10,13,104,800,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,17,2016-04-25,2016-05-01,12,1535,0,72,0,0,41,113,1,0,6,7,120,1038,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,18,2016-05-02,2016-05-08,26,1985,0,110,0,0,26,136,0,6,15,21,157,1257,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,19,2016-05-09,2016-05-15,55,2356,0,257,0,0,61,318,0,2,6,8,326,1209,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,20,2016-05-16,2016-05-22,84,3206,0,503,0,0,125,628,0,7,9,16,644,1533,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,21,2016-05-23,2016-05-29,90,4422,0,725,1,0,159,885,1,3,16,20,905,2278,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,22,2016-05-30,2016-06-05,77,5394,0,651,0,0,359,1010,0,11,51,62,1072,2792,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,23,2016-06-06,2016-06-12,90,5431,0,581,1,0,266,848,0,10,27,37,885,2748,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,24,2016-06-13,2016-06-19,73,4806,0,369,1,0,288,658,0,6,31,37,695,2464,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,25,2016-06-20,2016-06-26,54,4862,0,236,0,0,247,483,2,3,20,25,508,2520,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,2016,26,2016-06-27,2016-07-03,33,4578,0,147,0,0,173,320,1,7,38,46,366,2393,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2016,27,2016-07-04,2016-07-10,28,3355,0,70,0,0,88,158,1,3,13,17,175,1945,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2016,28,2016-07-11,2016-07-17,25,3657,0,33,0,0,64,97,2,3,21,26,123,2289,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2016,29,2016-07-18,2016-07-24,,3099,0,24,1,,42,67,0,3,17,20,87,1968,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,30,2016-07-25,2016-07-31,,2609,0,11,0,,38,49,0,2,8,10,59,1763,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,31,2016-08-01,2016-08-07,,2326,0,5,0,,14,19,0,12,11,23,42,1685,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,32,2016-08-08,2016-08-14,,1910,0,1,0,,6,7,0,9,10,19,26,1446,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,33,2016-08-15,2016-08-21,,1748,0,0,0,,9,9,0,5,17,22,31,1382,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,34,2016-08-22,2016-08-28,,1592,0,1,0,,7,8,0,10,13,23,31,1244,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,35,2016-08-29,2016-09-04,,1602,0,1,0,,5,6,0,1,8,9,15,1296,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,36,2016-09-05,2016-09-11,,1286,0,6,0,,4,10,1,8,26,35,45,1029,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,37,2016-09-12,2016-09-18,,1262,0,0,1,,3,4,0,9,24,33,37,1005,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,38,2016-09-19,2016-09-25,,1201,0,3,0,,3,6,0,7,20,27,33,944,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,39,2016-09-26,2016-10-02,,1108,0,1,0,,2,3,0,10,24,34,37,909,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,40,2016-10-03,2016-10-09,,1016,0,1,0,,1,2,1,10,24,35,37,806,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,41,2016-10-10,2016-10-16,,855,0,0,0,,0,0,0,6,22,28,28,690,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,42,2016-10-17,2016-10-23,,823,0,0,0,,2,2,1,8,8,17,19,676,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,43,2016-10-24,2016-10-30,,703,0,0,0,,0,0,0,3,15,18,18,561,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,44,2016-10-31,2016-11-06,,647,0,0,0,,1,1,1,5,11,17,18,529,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,45,2016-11-07,2016-11-13,,651,0,0,0,,1,1,0,5,9,14,15,554,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,46,2016-11-14,2016-11-20,,601,0,0,16,,0,16,0,2,3,5,21,498,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,47,2016-11-21,2016-11-27,,464,0,0,2,,0,2,1,1,4,6,8,422,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,48,2016-11-28,2016-12-04,,393,0,0,0,,1,1,0,2,11,13,14,348,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,49,2016-12-05,2016-12-11,,268,0,0,0,,0,0,0,0,3,3,3,245,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,50,2016-12-12,2016-12-18,,214,0,0,0,,0,0,0,0,1,1,1,193,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,51,2016-12-19,2016-12-25,,97,0,0,0,,0,0,0,0,1,1,1,92,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2016,52,2016-12-26,2017-01-01,,138,0,0,0,,1,1,0,1,0,1,2,122,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2017,1,2017-01-02,2017-01-08,,760,0,0,1,,0,1,1,0,5,6,7,362,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2017,2,2017-01-09,2017-01-15,,781,0,0,0,,2,2,0,2,5,7,9,374,No Report
