NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Last Name (Legal Name),Provider First Name,Provider Middle Name,City,State
1427502541,1,,YU,DERRICK,,LONG BEACH,CA
1972067528,2,FIRST CHOICE ENDOCRINOLOGY LLC,,,,JACKSONVILLE,FL
1265561450,2,"TAKOMA REGIONAL HOSPITAL, INC",,,,JOHNSON CITY,TN
1346379534,2,"TAKOMA REGIONAL HOSPITAL,INC",,,,JOHNSON CITY,TN
1366603573,1,,LANSEN,HONORE,N,NEW YORK,NY
1922549146,1,,O'CONNOR,COLLEEN,MARIE MCKENNA,CHARLOTTESVILLE,VA
1710950183,1,,JIMENEZ MORALES,LUZ,M,SAN GERMAN,PR
1396207338,1,,HARRIES,MICHAEL,D,BURR RIDGE,IL
1710220314,1,,SIRAM,RAMCHANDRA,,ORLANDO,FL
1073686671,1,,WITTMAN,SUSAN,J,ROCHESTER,NY
1194159277,1,,FULTON,KATHLEEN,,BALTIMORE,MD
1699819003,2,TAKOMA REGIONAL HOSPITAL INC,,,,JOHNSON CITY,TN
1649681180,1,,AYERS,CHRISTINA,,ELKINS,WV
1417913492,1,,BENSON,JONATHAN,DAVID,FORT WAYNE,IN
1457810814,1,,STOKES,CORRINE,E,WARSAW,IN
1790944478,1,,YANG,ROBIN,,BALTIMORE,MD
1275871055,2,WALGREEN CO,,,,DANVILLE,IL
1205398245,1,,REDDING,ALISON,CEGIELSKI,JACKSON,MS
1114489150,1,,STROUD,LATONIA,,HOUSTON,TX
1760944706,1,,MACE,MICHELLE,,IRONTON,OH
1215497995,1,,NEGRON-GONZALEZ,JORDI,JOEL,WORCESTER,MA
1790273928,2,WALGREEN CO,,,,DANVILLE,IL
1831399484,1,,HAYNES,HEATHER,ANN,TOLEDO,OH
1477848851,1,,SUMMERS,JOSHUA,,AUGUSTA,GA
1568703353,1,,SCOTT,JESSICA,RYAN,DANSVILLE,NY
1356518831,1,,OLAVESON,TAIT,DELL,AUGUSTA,GA
1750602017,1,,BAINBRIDGE,ASHLEY,M,MORGANTOWN,WV
1023570066,1,,BLOOM,AMANDA,R,NORTH BABYLON,NY
1932661972,2,VISION QUEST RECOVERY LLC,,,,CHESTERFIELD,MI
1841752888,2,DEVELOPING NEW HORIZONS,,,,DORAL,FL
1750843793,1,,BORAZAN,NABEEL,,NEW YORK,NY
1619467446,1,,LANNING,MARCI,A,IRONTON,OH
1295155216,1,,FERNANDES,DANIELLE,MARIE,NEW YORK,NY
1205192168,1,,OMAR,AHMED,FARGHALY,CHESTERLAND,OH
1942722533,1,,CALLAHAN,SARA,ASTARITA,SWAMPSCOTT,MA
1639157621,1,,QUINTON,TONY,DALE,AUGUSTA,GA
1184613572,1,,ALBERT,WALEED,,NEW YORK MILLS,NY
1487116422,1,,COSTANTINO,HEATHER,,NEW MIDDLETOWN,OH
1538468061,1,,BAKER,AMY,R,HAGERSTOWN,MD
1588095277,1,,MOHIUDDIN,MUDDASSIR,,GREENDALE,WI
1285805291,1,,MAHMOOD,OMAR,AHMAD,EDEN PRAIRIE,MN
1205239621,1,,SMITH,DEANNA,,FORT LAUDERDALE,FL
1578025516,1,,JULSON,JANET,,BIRMINGHAM,AL
1114494366,1,,COOK,STEVEN,C,AUGUSTA,GA
1396717963,2,MOUNTAIN STATES HEALTH ALLIANCE,,,,JOHNSON CITY,TN
1568739977,1,,MARKOFSKI,ANNE,MARIE,GREENDALE,WI
1043748890,1,,CASSIDY,MEGAN,,GREENDALE,WI
1235198110,1,,SAMA,RALPH,J,WORCESTER,MA
1104388149,1,,JAROUDI,SARAH,SAMI,HOUSTON,TX
1013479054,1,,PHAN,NANCY,TRAN,HOUSTON,TX
1922560960,1,,ALBAUGH,HARRY,MENDENHALL,OCALA,FL
1215387675,1,,LOSTAGLIO,DANIELLE,EILEEN,BETHPAGE,NY
1437161692,2,CUSTOM HEALTHCARE INC,,,,BALTIMORE,MD
1477782142,1,,BINGI,KRISHNA KISHORE,,MORGANTOWN,WV
1295297232,1,,PAUL,TIANA,,FARMINGTON HILLS,MI
1093720302,2,WALGREEN CO,,,,DANVILLE,IL
1477900561,2,THERAPY AT HOME LLC,,,,GREENDALE,WI
1831651876,2,"MENTAL HEALTH AND ADDICTION CENTER, LLC",,,,JERSEY CITY,NJ
1740742782,1,,KIM,ELEANOR,,NEW YORK,NY
1659833697,1,,LEONARD,LAUREN,MARIE,PITTSBURGH,PA
1568924504,1,,JANG,HEEBYEONG,,FORT MYERS,FL
1477015410,1,,ESTRADA,SEBASTIAN,,DURHAM,NC
1396271268,1,,JAEGER,ASHLEY,ALEXANDRA,JBSA-FORT SAM HOUSTON,TX
1841644762,2,"BECC, LLC",,,,PROVIDENCE,RI
1134659394,1,,BASTIEN,NATHAN,PAUL,SAN ANTONIO,TX
1649503350,1,,HAMEL,PAOLA MELISSA,,BIDDEFORD,ME
1548242951,1,,JENSEN,ERIC,A,ROCHESTER,MN
1568605970,2,WALGREEN CO,,,,DANVILLE,IL
1386106326,1,,JACKSON,JESSICA,MARIE,SACO,ME
1194287136,1,,HARDWICK,SHANNON,,GARDENDALE,AL
1003378043,1,,RODRIGUEZ,ILDEFONSO,SILVA,CAMARILLO,CA
1912469958,1,,BAKER,MICHAEL,,LEXINGTON,KY
1821550864,1,,TARANTO,ELEANOR,PLAUT,CHICAGO,IL
1730641770,1,,WORCH,NAOMI,,BROOKLYN,NY
1649732686,1,,LOZA,LINA,MARIA,WESTON,FL
1417257247,1,,HANNIGAN,DANIELLE,,CHICAGO,IL
1679570998,2,TAKOMA REGIONAL HOSPITAL INC,,,,JOHNSON CITY,TN
1457870743,1,,JONES,EMILY,R,NORTHPORT,AL
1558823591,1,,CASPER,MADISON,,AUSTIN,TX
1467914408,1,,ORTIZ,CARLOS,BRANDON,HOUSTON,TX
1376005314,1,,BURBACH,LAURA,,PORTLAND,OR
1669946588,1,,OLAOSEBIKAN,OLUSEGUN,,STAFFORD SPRINGS,CT
1245624097,1,,PIPER,LAURA,ELIZABETH,CINCINNATI,OH
1598802738,1,,WILLOUGHBY,ERIC,M.,MARYVILLE,MO
1326025503,1,,JOHNSON,C,DANIEL,ROCHESTER,MN
1376580563,1,,ELLIS,GAIL,L,BEVERLY,MA
1184874778,1,,SIMMONDS,LISA,E,CHARLOTTESVILLE,VA
1285196220,1,,TIMMERMANN,ONDREA,K,NORMAL,IL
1093277030,1,,LEAHY,DEBORAH,JANE,STONEHAM,MA
1316969561,1,,MCCALL,CHARLES,SINCLAIR,COLUMBUS,GA
1497720452,1,,COOK,LINDA,L,MORGANTOWN,WV
1346570280,1,,OFELT,DANIKA,G,WENATCHEE,WA
1992112304,1,,OSMAN,MUAZ,S,ROYAL OAK,MI
1942439906,1,,STEALY,BECKY,RENEE,GOLDEN VALLEY,MN
1740395953,1,,SIGMAN,HOLLIS,C,COLUMBUS,GA
1679898290,1,,CRITES,SAMANTHA,JANE,MORGANTOWN,WV
1124069315,2,"CONCORD REGIONAL VISITING NURSE ASSOCIATION, INC.",,,,CONCORD,NH
1902368947,1,,PELLETIER,PAUL,JACQUES,DENVER,CO
1811459852,1,,DOUEDI,STEVEN,,NEPTUNE,NJ
1720540768,1,,OCHS,SHARON,DOLORANN LEE,GLASGOW,KY
1386934529,1,,AZADEH,NATALYA,,SCOTTSDALE,AZ
1053831487,1,,DISRUD,ALEXANDRA,DENISE,SUMMIT,WI
1861408882,1,,BENSON,CAROLYN,A,VERNON,CT
1376002758,1,,HONEYCUTT,CRATON,,CHICO,CA
1164425583,2,"CONCORD REGIONAL VISITING NURSE ASSOCIATION, INC.",,,,CONCORD,NH
1023068640,1,,ORTIZ,G MICHAEL,,SARATOGA SPRINGS,NY
1093206146,1,,QURESHI,ZAHRA,A,LAWRENCEVILLE,GA
1639631674,1,,CHILTON,KATHRYN,,MADISON,WI
1548722580,1,,SHAH,PAARTH,MEHUL,WEST ORANGE,NJ
1457813495,1,,WERWIE,NICOLE,ALYSSA,COLUMBUS,OH
1750414983,2,"ROCKLEDGE SURGERY CENTER, INC.",,,,CHARLOTTE,NC
1144469552,1,,BENEFIELD,RICHARD,WAYNE,ATLANTA,GA
1891264578,2,SHERPA SLEEP SOLUTIONS LLC,,,,HERSHEY,PA
1952495798,1,,HOLZBERG,ADAM,S,STRATFORD,NJ
1326503236,1,,O'BRIEN,KRISTEN,MARIE,HANOVER,PA
1952765661,1,,JACKSON,COLLEEN,E,BOSTON,MA
1902165475,1,,IQBAL,FAHEEM,,BATON ROUGE,LA
1275095218,1,,CREDEN,SAMUEL,PETER,NORFOLK,VA
1184186124,1,,SCHNEIDER,ANDREW,GUSTAV,CAMBRIDGE,MA
1801358841,1,,GROSSER,RACHEL,ANA,BRONX,NY
1710449756,1,,DOBROGORSKIY,VITALIY,,ROCKFORD,IL
1629530662,1,,KREMPELS,RYAN,LEE,KANSAS CITY,MO
1538621578,1,,LELONEK,JILLIAN,,BUFFALO,NY
1215042510,1,,JARRELL,TODD,S,COLUMBUS,GA
1881124428,1,,CUTRIGHT,KRISTEN,,FAIRMONT,WV
1366973372,1,,HOLCOMB,MIRIAM,W.,GASTONIA,NC
1225038250,1,,SHAMOUN,FADI,,SCOTTSDALE,AZ
1104147982,1,,YAFT,JOHN,,IRVING,TX
1902396716,1,,HENEIN,PETER,K,MORRISTOWN,NJ
1609278662,1,,DRYSDALE,LINDSAY,ALISON,FORT GORDON,GA
1740769413,1,,RIVERA TORRES,NOELLIE,MARIE,SAN JUAN,PR
1659839694,2,SELF MEDICAL GROUP,,,,GREENWOOD,SC
1912471491,1,,NWALOZIE,BEATRICE,NDUDIM,NEW YORK,NY
1215919790,1,,SIX,DEBORAH,A,GORHAM,ME
1912997594,2,GRUNDY LIFE CARE CORP,,,,ROANOKE,VA
1487014635,1,,NOREIGA,APRIL,,FRESH MEADOWS,NY
1356803399,2,RESET BRAIN PLUS BODY LLC,,,,PLYMOUTH,MI
1265994206,1,,GORDON,JESSICA,ELIZABETH,LANSING,MI
1174085112,2,"TENNESSEE PHYSICAL THERAPY SERVICES OF KINGSPORT, LLC",,,,LAFAYETTE,LA
1083176028,1,,HEIN,AARON,MICHAEL,DURHAM,NC
1891257838,1,,BLAND,TIFFANY,ANN,WAYNESBURG,PA
1700348745,1,,BELLAMKONDA,VINDHYA,,MOBILE,AL
1821088493,2,FRONT ROYAL LIFE CARE CORP,,,,ROANOKE,VA
1699235937,2,"BRANDYWINE PEDIATRIC DENTISTRY, P.A.",,,,WILMINGTON,DE
1740270297,2,LAUREL MEADOWS LIFE CARE L C,,,,ROANOKE,VA
1912950411,1,,RUBIN,PETER,,BIDDEFORD,ME
1437611472,1,,LAWRIE,ERIN,,PHILADELPHIA,PA
1740747211,1,,MOEN,LESLIE,,MILWAUKEE,WI
1740254648,2,DVA RENAL HEALTHCARE INC,,,,BRENTWOOD,TN
1801075049,2,"HOOSIER HOMECARE SERVICES, LLC",,,,ANDERSON,IN
1821023151,2,"CHESAPEAKE MEDICAL GROUP, INC",,,,RICHMOND,VA
1669974515,1,,GAYLE,KRISTEN,OSTERMAN,ALEDO,TX
1851502165,1,,PACHUTA,LINDA,S,SCOTTSDALE,AZ
1437149960,2,VIRGINIA BEACH LIFE CARE CORP,,,,ROANOKE,VA
1528520566,1,,YODER,JONATHON,,EMMAUS,PA
1346702388,1,,SUH,MARGARET,B,ALBANY,NY
1255893293,1,,BETAGERI,OMKAR,,GAINESVILLE,FL
1164984100,1,,LUGO JOSE,YADHIRA,,PONCE,PR
1164578134,2,WALGREEN CO.,,,,DANVILLE,IL
1972659845,1,,EVANS,THERESA,A,TRAVERSE CITY,MI
1881655132,1,,SCHWEMM,HEATHER,N,SOUTH PORTLAND,ME
1528326907,1,,LOVELESS,REBEKAH,MARIE,ROCHESTER,NY
1508924622,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1801297502,1,,DEURMIER,LAUREL,,CALABASAS,CA
1093707812,1,,GLEZEN-SCHNEIDER,PRISCILLA,,BOSTON,MA
1073075016,1,,NG,SPENCER,,COLLINGSWOOD,NJ
1982166922,1,,RUDMAN,JOSEPH,,STATEN ISLAND,NY
1790247732,1,,DAVIS,CASSIE,,FREDERICKTOWN,PA
1609338649,2,"MCNAUGHTON PLASTIC SURGERY, LLC",,,,DAKOTA DUNES,SD
1518429554,1,,TEJEDA,TERESA,,BRONX,NY
1427510460,2,"THE OPAL STORK NURSERY SERVICES, LLC",,,,WEST HAVEN,CT
1336601376,1,,WALKER,MANNING,,EUGENE,OR
1245792282,2,ASNIS DENTAL PLLC,,,,MELVILLE,NY
1477714608,1,,BEAMER,STACI,ERIN,SCOTTSDALE,AZ
1073879607,1,,MOODY,ERIKA,LEE,HOUSTON,TX
1114488236,2,"ESTRABAO HEALTH SERVICES, INC",,,,MIAMI,FL
1497216626,1,,LONDONO MARULANDA,ISABEL,,CLEVELAND,OH
1245465038,1,,SMITH,BRADLEY,,BIDDEFORD,ME
1881684330,2,LEXINGTON LIFE CARE CORP,,,,ROANOKE,VA
1669883765,1,,JUIN-BAPTISTE,EMILIE,,PHILADELPHIA,PA
1184610347,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1356821235,2,SDM VIRGINIA LLC,,,,CHARLOTTE,NC
1679811657,1,,DIAZ,JORGE,CESAR,FORT MYERS,FL
1447480777,1,,FRICK,DEANNA,M,ISLANDIA,NY
1578519880,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1154883197,1,,VISWANATHAN,RAJIDIVYA,,PHILADELPHIA,PA
1063974004,1,,KREBS,LISA,,CHICAGO,IL
1972065910,1,,WOOLEY,JENNIFER,,PORTLAND,OR
1881156826,1,,DANIELSON,LINDSEY,HEAP,ZACHARY,LA
1699237636,1,,BERKMAN,AMY,,SHELBURNE,VT
1508328543,1,,CORZINE,BRANDY,,EDWARDSVILLE,IL
1417419458,1,,HAGAN,CHRISTINA,ELIZABETH,WASHINGTON,DC
1326500364,1,,RAO,SEEMA,SITHARAMA,CORDOVA,TN
1235691270,1,,IRIZARRY,FRANCISCO,,MIAMI,FL
1144782186,1,,LORENCE,JENNIFER,MARIE,MINNEAPOLIS,MN
1669934600,1,,HAAG,AARON,LEE,PITTSBURGH,PA
1679521165,2,"THE DERMATOLOGY CENTER, PA",,,,CHARLOTTE,NC
1639158827,1,,TRABOULSSI,MOURHAF,,SANDUSKY,OH
1255334686,1,,LIU,LINDA,,ROCKVILLE,MD
1134119167,1,,TOKISH,JOHN,MICHAEL,PHOENIX,AZ
1578978581,1,,DOBBINS,WAYNE,,SCITUATE,RI
1922090174,1,,LAMPKIN,JON,MICHAEL,BROOKVILLE,PA
1093976623,1,,BRALLIER,JESS,WALLACE,NEW YORK,NY
1982847182,1,,BURCH,RYAN,PATRICK,NEW BERLIN,WI
1053873091,2,SUMMIT PHYSICIAN SERVICES,,,,CHAMBERSBURG,PA
1962964908,1,,NEGRON,NATALIE,NICOLE,BROOKSVILLE,FL
1871055814,1,,SEAY,LE'DERIUS,,BIRMINGHAM,AL
1780146720,1,,TEEPLES,JESSICA,LEIGH,FLINT,MI
1598227530,2,ASNIS DENTAL PLLC,,,,MELVILLE,NY
1386757037,1,,GHARIB,WISSAM,,MORGANTOWN,WV
1154441871,2,SERVICE ACCESS AND MANAGEMENT INC,,,,READING,PA
1235560020,2,WALGREEN CO,,,,DANVILLE,IL
1942434584,1,,CHADWICK,CHRISTIE,L,BELVILLE,NC
1407318447,1,,MOHIBULLAH,FNU,,WOODBRIDGE,VA
1316409352,1,,YACOOB,ZEESHAN,AKBAR,MILWAUKEE,WI
1225590268,1,,GUDLAWAR,SIRISHA,,OAK CREEK,WI
1447547864,1,,SMITH,ERIC,N,SCARBOROUGH,ME
1073569794,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1235348079,1,,PATEL,SAMIR,H.,PHOENIX,AZ
1932148442,1,,NAOUM,JOSEPH,JOE,HOUSTON,TX
1619438710,1,,HERNANDEZ CANCIOBELLO,JORGE,,MIAMI,FL
1134681174,1,,STAMM,HANNAH,,HAMDEN,CT
1043772080,1,,TUZINKIEWICZ,NICOLE-MARIE,,BRONX,NY
1861954802,1,,STAHL,LARA,G,FORT WORTH,TX
1770045718,1,,ABBOTT,MATTHEW,RYAN,DURHAM,NC
1689136624,1,,SHAREEF-JEFFERSON,RAUSHANAH,TAHERRAH,GRAND PRAIRIE,TX
1508901570,2,PALM BEACH SPORTSMEDICINE & ORTHOPAEDIC CENTER PA,,,,WEST PALM BEACH,FL
1821044652,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1174940340,1,,PUSTER,ERIC,,INDIANAPOLIS,IN
1093126146,2,ELIZABETH BOSHOVEN LLC,,,,GRAND RAPIDS,MI
1194058404,1,,GLASER,JORDAN,MICHAEL,CHARLOTTE,NC
1407957277,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1598227548,1,,WILLIAMS,KIARA,IANNA,NEW YORK,NY
1407318454,1,,KWAPIEN,ELEANOR,ROSE,WILBRAHAM,MA
1003897935,1,,SCOPELLITO-OLSEN,ANNA,MARIE,STATEN ISLAND,NY
1386638179,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1528052511,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1720422884,1,,MADDOX,MEGAN,MCCAIN,HOUSTON,TX
1679072953,1,,TEAGUE,MARK,,LAFAYETTE HILL,PA
1700038981,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1326023623,1,,ROUST,LORI,RAE,ROCHESTER,MN
1316409360,1,,NOBLES,BRENT,,EUCLID,OH
1225590276,1,,KNOPP,MELISSA,,MORGANTOWN,WV
1134681182,1,,VIZCAINO VILLALOBOS,MARIA ADELITA,,ROCHESTER,MN
1043772098,1,,GIORDANO,HALEY,,BIRMINGHAM,MI
1952863904,1,,WADDELL,MARK,ANTHONY,JONESVILLE,NC
1063890895,1,,HABERSHAM,LEAH,,MARYVILLE,MO
1548256753,2,LUTHERAN CHARITY ASSOCIATION,,,,JAMESTOWN,ND
1659479541,1,,TOTH,CHRISTOPHER,A,KENNEBUNK,ME
1235166687,1,,BELAKERE,RAMEGOWDA,,HOUSTON,TX
1912487893,2,"SONA DERMATOLOGY TEXAS, PA",,,,CHARLOTTE,NC
1316939523,2,CITY OF BROOKVILLE,,,,BROOKVILLE,OH
1699930958,1,,KHANNA,VINITA,,SPRINGFIELD,MO
1730313867,1,,AMBRUS,DANIEL,B,LEBANON,NH
1770069494,1,,TOLDO,EMMALEE,,BLOOMINGTON,MN
1861954810,1,,SHANKAR,KARTHIK,,PITTSBURGH,PA
1770045726,1,,MOHAMED,FAZAD,NAZIR,NEWARK,DE
1689136632,1,,TUCKER,NICHOLE,,SAINT LOUIS,MO
1497217442,2,HEALTHSTAT CLINICS LLC,,,,VEGA BAJA,PR
1306308358,1,,BREEN,BRENDA,LOUISE,ALBANY,NY
1215499264,1,,TAN,ISAIAH,WESLEY,MADISON,WI
1124580170,1,,RASSOULI,NEGIN,,CLEVELAND,OH
1033671086,1,,STEADMAN,LARYN,,INDIANAPOLIS,IN
1942762992,1,,MEADE,BRENDAN,,SMITHTOWN,NY
1851853808,1,,ATKINSON,SARAH,E,CORPUS CHRISTI,TX
1467832204,1,,GREER,REBECCA,,FLUSHING,MI
1912341249,1,,MORIN,CAROLINE,,MIAMI,FL
1265852875,1,,MAUNEY,LEXANNE,,HOUSTON,TX
1205141108,1,,ROGERS,ANGELA,,HOLLY RIDGE,NC
1457794018,1,,DONNELLY,ADAM,MICHAEL,PHILADELPHIA,PA
1629457312,1,,SCHMOKE,NICHOLAS,,AURORA,CO
1912958851,1,,SPISAK-DIAL,PATRICIA,HELEN,STUART,FL
1679031587,2,"PEER AND ASSOCIATES, PSYCHOLOGICAL HEALTH AND WELLNESS SERVICES",,,,TRENTON,MI
1861586877,1,,RAO,SHAHNAZ,K,WOODSTOCK,MD
1376659102,1,,TRAVIS,PAMELA,W,BIDDEFORD,ME
1760944714,1,,BILLING,DAVID,LEE,NEW YORK,NY
1679035620,1,,LLANES,NATASHA,NICOLE,TAMPA,FL
1588126536,1,,FERNANDEZ,CELIA,MARISOL,KISSIMMEE,FL
1396207346,1,,MIARI,ASSEM,,ANKENY,IA
1205398252,1,,BRYAN,KESHA,,NEW YORK,NY
1114489168,1,,HAYES,TIMOTHY,WENDELL,LUBBOCK,TX
1023570074,1,,FARSACI,CATHERINE,,WORCESTER,MA
1942579958,1,,GLASPELL,AMBERLY,R,MORGANTOWN,WV
1477501955,1,,BARILLA,ANNE MARIE,,PHILADELPHIA,PA
1134133002,2,"PIEDMONT NEWNAN HOSPITAL, INC.",,,,NEWNAN,GA
1679519037,2,"CVS PHARMACY, INC.",,,,WOONSOCKET,RI
1932661980,1,,WECKE,KATHERINE,ROSE,SAINT LOUIS,MO
1285027433,1,,CULPEPPER,NATALIE,,TEXARKANA,TX
1720440282,1,,KARIM,AZAD,,MEMPHIS,TN
1649751082,1,,ROBBLEE,JENNIFER,VICTORIA,SCOTTSDALE,AZ
1851754469,2,SHAHNAZ K. RAO MDPA,,,,WOODSTOCK,MD
1487156139,2,"PRIME MD GERIATRICS, PLLC",,,,GRAPEVINE,TX
1306355680,2,PIEDMONT ROCKDALE HOSPITAL INC.,,,,ATLANTA,GA
1134395668,1,,LOW,YEE CHENG,,PHILADELPHIA,PA
1972031516,1,,BOYDEN,DARIENNE,ELYSE,FORT LAUDERDALE,FL
1841752896,1,,DU,XIAO ZHOU,,WINNIPEG,MB
1750843702,1,,ZHONG,XIAWEI,,ORLANDO,FL
1669934618,1,,CEDENO,JESSICA,LYNN,FAYETTEVILLE,NC
1578025524,1,,LITTLE,KENDALL,,PORTSMOUTH,VA
1487116430,2,CHRISTIANA CARE HEALTH INITIATIVES,,,,NEWARK,DE
1295297240,1,,KUHATSCHEK,BRIANNA,,GRAND RAPIDS,MI
1104388156,1,,SPILLANE,DEBRA,ANN,NORTHBROOK,IL
1013479062,1,,SCHWARTZ,CHELSEA,TAYLOR,CINCINNATI,OH
1922560978,1,,BUENNING,JASON,,WINSTON SALEM,NC
1831651884,1,,ANDRADE,AMANDA,,NEW BEDFORD,MA
1720589328,2,PIEDMONT WALTON HOSPITAL INC,,,,ATLANTA,GA
1285198150,1,,GUNTER,JEREMY,L,SOUTH BEND,IN
1285715847,1,,JENNINGS,SHANNON,MICHELLE,SPRINGFIELD,MO
1417937673,1,,SIMMONS,CAROLYN,ELIZABETH,ROSEBURG,OR
1063895613,1,,ABOU-JAOUDE,MICHELLE,MARY,LEXINGTON,KY
1346708625,1,,PITTS,ELLEN,KATHLEEN,SPRINGFIELD,MO
1629270608,1,,ADIE,MOHAMMAD,AMIN,GRAND FORKS,ND
1922575497,1,,MOJZAK,PATRICIA,MARY,RICHMOND,VA
1477814770,1,,GALLANT,JOSEPH,J,BOSTON,MA
1427277698,1,,CASPER,WALTER,W,SISSETON,SD
1003259128,1,,MEHTA-NAIK,NISHA,,NEW YORK,NY
1578713160,1,,GUZZI,BETH,A,MORGANTOWN,WV
1225508278,2,BLUE RIDGE MEDICAL TRANSPORT,,,,MORGANTON,GA
1083195788,2,"STRONG TOWER SOCIAL SERVICES, INC",,,,GLASSBORO,NJ
1689973083,1,,MELINOSKY,CHRISTOPHER,,PHILADELPHIA,PA
1952729493,1,,JACOB,SNEHA,,SCOTTSDALE,AZ
1598100372,1,,KOLASA,JUSTIN,R,LEXINGTON,KY
1285695353,1,,BUDINE,JOAN,D,MORGANTON,NC
1518426006,2,MINT HILL SMILES,,,,CHARLOTTE,NC
1164764395,1,,MARBELLA,MARKO,ESTEVES,MAYWOOD,IL
1740742790,1,,BRANCHINI,MICHELLE,ELIZABETH,DENVER,CO
1659833606,1,,PATEL,NILAM,K,SNELLVILLE,GA
1568924512,1,,HAIRE,RENEE,,JACKSONVILLE,FL
1477015428,1,,URICK-GREER,CINDI,,FORT WAYNE,IN
1386106334,1,,FERNANDEZ GONZALEZ,MARIO R,,SAN JUAN,PR
1194287144,1,,DELGADO,DOEL,,COAMO,PR
1003378050,1,,JAMAL,ABDUR,RAFIO,SPRING,TX
1912469966,2,SAFE LIVING HOME CARE LLC,,,,PITTSBURGH,PA
1821550872,1,,FRANDINA,JOHN,LEONARD,CLEVELAND,OH
1730641788,1,,PARNELL,LAQUARRIE,RENEE,TOLEDO,OH
1649732694,1,,MORGAN,CARLINGTON,,BURTONSVILLE,MD
1154489268,1,,WRIEDEN,ROBERT,G,TOMBALL,TX
1851666382,2,"YOLANDA LAGUNAS MD, P.A.",,,,EL PASO,TX
1598282048,1,,PRIMM,MARIBETH,E,SPRINGFIELD,MO
1629086681,1,,OLLECH,BARBARA,,SPRING VALLEY,NY
1730647389,1,,BURKE,CASEY,MARIE,BALTIMORE,MD
1356802961,1,,HUME,ASHLEY,NICOLE,PALM BEACH GARDENS,FL
1407166820,1,,BLACK,CYNTHIA,JOYCE,FARRELL,PA
1548268568,1,,HOLLIDAY,ANDREA,MARIE,EDGEWOOD,KY
1902367345,2,"MIRZA N. AHMAD, M.D., INC.",,,,CANTON,OH
1558823500,2,PHOENIX INTERNAL MEDICINE LLC,,,,WINTER PARK,FL
