"provider_id","hospital_name","address","city","state","zip_code","county_name","phone_number","measure_id","measure_name","compared_to_national","denominator","score","lower_estimate","higher_estimate","footnote","measure_start_date","measure_end_date"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_11_POST_RESP","Postoperative Respiratory Failure Rate","No Different Than the National Rate","509","8.52","2.81","14.22",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_12_POSTOP_PULMEMB_DVT","Serious blood clots after surgery","No Different Than the National Rate","1294","2.73","0.36","5.10",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_13_POST_SEPSIS","Blood stream infection after surgery","No Different Than the National Rate","641","5.20","1.96","8.44",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_14_POSTOP_DEHIS","A wound that splits open after surgery on the abdomen or pelvis","No Different Than the National Rate","246","1.17","0.15","2.18",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_15_ACC_LAC","Accidental cuts and tears from medical treatment","No Different Than the National Rate","980","1.29","0.13","2.46",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_3_ULCER","Pressure sores","No Different Than the National Rate","4942","0.73","0.1","1.36",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_4_SURG_COMP","Deaths among Patients with Serious Treatable Complications after Surgery","Worse Than the National Rate","54","219.04","170.43","267.66",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_6_IAT_PTX","Collapsed lung due to medical treatment","No Different Than the National Rate","6575","0.22","0.01","0.43",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_8_POST_HIP","Broken hip from a fall after surgery","No Different Than the National Rate","5742","0.10","0.01","0.19",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_90_SAFETY","Serious complications","No Different Than the National Value","Not Available","1.01","0.7","1.33",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_9_POST_HEM","Perioperative Hemorrhage or Hematoma Rate","No Different Than the National Rate","1236","2.19","0.85","3.53",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","COMP_HIP_KNEE","Rate of complications for hip/knee replacement patients","No Different Than the National Rate","389","2.6","1.7","4.0",,"2015-04-01T00:00:00.000","2018-03-31T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","MORT_30_AMI","Death rate for heart attack patients","No Different Than the National Rate","441","15.4","12.8","18.3",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","MORT_30_CABG","Death rate for CABG surgery patients","No Different Than the National Rate","145","4.6","2.7","7.8",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","MORT_30_COPD","Death rate for COPD patients","No Different Than the National Rate","546","10.3","8.1","12.7",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","MORT_30_HF","Death rate for heart failure patients","No Different Than the National Rate","671","12.9","10.6","15.4",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","MORT_30_PN","Death rate for pneumonia patients","No Different Than the National Rate","793","17.6","15.1","20.3",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","MORT_30_STK","Death rate for stroke patients","No Different Than the National Rate","375","14.5","11.7","17.6",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_10_POST_KIDNEY","Postoperative Acute Kidney Injury Requiring Dialysis Rate","No Different Than the National Rate","568","1.06","0","2.24",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_11_POST_RESP","Postoperative Respiratory Failure Rate","No Different Than the National Rate","386","6.98","0.9","13.06",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_12_POSTOP_PULMEMB_DVT","Serious blood clots after surgery","No Different Than the National Rate","2701","4.79","2.82","6.76",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_13_POST_SEPSIS","Blood stream infection after surgery","No Different Than the National Rate","551","5.77","2.52","9.02",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_14_POSTOP_DEHIS","A wound that splits open after surgery on the abdomen or pelvis","No Different Than the National Rate","469","0.82","0","1.81",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_15_ACC_LAC","Accidental cuts and tears from medical treatment","No Different Than the National Rate","1438","1.12","0.04","2.21",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_3_ULCER","Pressure sores","No Different Than the National Rate","8055","0.40","0","0.87",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_4_SURG_COMP","Deaths among Patients with Serious Treatable Complications after Surgery","Worse Than the National Rate","114","207.61","166.63","248.6",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_6_IAT_PTX","Collapsed lung due to medical treatment","No Different Than the National Rate","10201","0.25","0.06","0.45",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_8_POST_HIP","Broken hip from a fall after surgery","No Different Than the National Rate","8846","0.11","0.02","0.2",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_90_SAFETY","Serious complications","No Different Than the National Value","Not Available","1.02","0.73","1.31",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","35630","LAUDERDALE","(256) 768-8400","PSI_9_POST_HEM","Perioperative Hemorrhage or Hematoma Rate","No Different Than the National Rate","2607","2.99","1.82","4.17",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","COMP_HIP_KNEE","Rate of complications for hip/knee replacement patients","No Different Than the National Rate","31","2.8","1.6","4.8",,"2015-04-01T00:00:00.000","2018-03-31T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","MORT_30_AMI","Death rate for heart attack patients","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1","2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","MORT_30_CABG","Death rate for CABG surgery patients","Not Available","Not Available","Not Available","Not Available","Not Available","5","2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","MORT_30_COPD","Death rate for COPD patients","No Different Than the National Rate","113","9","6.3","12.9",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","MORT_30_HF","Death rate for heart failure patients","No Different Than the National Rate","85","15.6","11.1","21.7",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","MORT_30_PN","Death rate for pneumonia patients","Worse Than the National Rate","220","22.1","17.5","27.5",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","MORT_30_STK","Death rate for stroke patients","No Different Than the National Rate","38","15.5","11.4","20.6",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_10_POST_KIDNEY","Postoperative Acute Kidney Injury Requiring Dialysis Rate","No Different Than the National Rate","57","1.33","0.02","2.65",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_11_POST_RESP","Postoperative Respiratory Failure Rate","No Different Than the National Rate","50","6.88","0","14.59",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_12_POSTOP_PULMEMB_DVT","Serious blood clots after surgery","No Different Than the National Rate","123","4.78","1.85","7.71",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_13_POST_SEPSIS","Blood stream infection after surgery","No Different Than the National Rate","41","4.99","1.15","8.82",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_14_POSTOP_DEHIS","A wound that splits open after surgery on the abdomen or pelvis","No Different Than the National Rate","36","0.95","0","2",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_15_ACC_LAC","Accidental cuts and tears from medical treatment","No Different Than the National Rate","113","1.25","0","2.54",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_3_ULCER","Pressure sores","No Different Than the National Rate","1036","0.35","0","1.39",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_4_SURG_COMP","Deaths among Patients with Serious Treatable Complications after Surgery","Not Available","Not Available","Not Available","Not Available","Not Available","1","2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_6_IAT_PTX","Collapsed lung due to medical treatment","No Different Than the National Rate","1318","0.26","0.03","0.49",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_8_POST_HIP","Broken hip from a fall after surgery","No Different Than the National Rate","1176","0.11","0.01","0.2",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_90_SAFETY","Serious complications","No Different Than the National Value","Not Available","0.98","0.55","1.41",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","(334) 493-3541","PSI_9_POST_HEM","Perioperative Hemorrhage or Hematoma Rate","No Different Than the National Rate","123","2.49","1","3.98",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","COMP_HIP_KNEE","Rate of complications for hip/knee replacement patients","Not Available","Not Available","Not Available","Not Available","Not Available","5","2015-04-01T00:00:00.000","2018-03-31T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","MORT_30_AMI","Death rate for heart attack patients","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1","2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","MORT_30_CABG","Death rate for CABG surgery patients","Not Available","Not Available","Not Available","Not Available","Not Available","5","2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","MORT_30_COPD","Death rate for COPD patients","No Different Than the National Rate","29","8.5","5.5","12.5",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","MORT_30_HF","Death rate for heart failure patients","No Different Than the National Rate","25","12.3","8.3","18.0",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","MORT_30_PN","Death rate for pneumonia patients","No Different Than the National Rate","51","17.2","12.3","23.6",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","MORT_30_STK","Death rate for stroke patients","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1","2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","PSI_10_POST_KIDNEY","Postoperative Acute Kidney Injury Requiring Dialysis Rate","Not Available","Not Available","Not Available","Not Available","Not Available","1","2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","PSI_11_POST_RESP","Postoperative Respiratory Failure Rate","Not Available","Not Available","Not Available","Not Available","Not Available","7","2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","PSI_12_POSTOP_PULMEMB_DVT","Serious blood clots after surgery","Not Available","Not Available","Not Available","Not Available","Not Available","1","2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","(334) 335-3374","PSI_13_POST_SEPSIS","Blood stream infection after surgery","Not Available","Not Available","Not Available","Not Available","Not Available","1","2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
